Gender,State,City,Bank,Account_Type,Transaction_Type,Merchant_Category,Transaction_Device,Device_Type,Age,Transaction_Amount,Account_Balance,Is_Fraud
1,19,128,0,0,0,0,1,0,35,15100.43,32826.58,0
1,18,100,0,0,4,4,0,1,33,40039.01,46300.2,0
1,14,11,0,2,1,1,6,2,49,15902.17,69948.18,0
0,11,5,0,2,2,0,6,2,22,47463.89,58785.42,0
1,3,61,0,2,4,3,0,2,66,47117.73,68307.71,0
0,27,99,0,1,1,0,0,3,24,21323.87,49259.26,0
1,32,27,0,1,2,2,3,0,31,39963.26,31751.21,0
0,23,16,0,2,3,4,6,1,27,42744.44,41089.41,0
1,33,73,0,0,1,2,10,3,62,40885.27,63581.23,0
1,15,70,0,1,3,2,5,1,46,25316.41,64890.17,0
1,0,31,0,0,3,4,19,1,20,63113.16,47510.44,0
1,29,69,0,1,1,3,19,3,47,98200.55,59310.28,0
0,4,92,0,0,3,0,12,3,25,28261.1,86593.19,0
0,14,85,0,0,1,5,11,3,48,53650.99,97628.37,0
0,29,67,0,0,4,3,1,0,69,83020.54,64372.18,0
1,32,44,0,1,0,2,14,0,18,33848.71,70451.67,0
0,17,43,0,0,1,4,13,2,41,95536.19,9766.14,0
0,18,111,0,0,4,0,13,0,38,36756.11,87950.3,0
0,32,44,0,2,3,0,6,2,38,55445.2,57010.14,0
0,9,87,0,1,4,5,1,3,70,62282.5,51684.67,0
0,17,134,0,2,2,0,2,3,35,55498.62,74568.64,0
1,14,85,0,0,0,1,8,3,69,38257.62,59436.92,0
0,6,112,0,1,1,2,1,2,44,15545.79,49197.12,0
0,30,29,0,0,0,5,15,2,56,50704.69,5499.83,0
1,3,95,0,2,2,1,18,2,55,68327.72,58793.83,0
1,7,123,0,0,4,0,1,1,53,61166.54,81632.27,0
1,29,103,0,1,3,2,5,1,28,65264.4,95137.97,0
1,28,24,0,2,4,3,13,3,34,60338.26,16182.3,0
1,27,60,0,0,1,4,2,0,59,17014.89,10071.8,0
1,20,62,0,2,1,3,9,2,61,84166.51,41467.41,0
0,0,109,0,0,4,4,13,3,53,31018.67,28633.52,0
0,7,33,0,1,1,4,7,3,32,47988.35,32353.62,0
0,15,130,0,0,4,4,13,2,65,52349.74,32252.66,0
0,33,48,0,1,4,0,13,3,64,59551.8,53730.04,1
1,5,21,0,0,1,2,16,3,27,90855.04,72943.17,0
1,33,48,0,2,3,1,10,2,40,60970.92,23612.0,0
0,10,2,0,1,3,5,19,1,58,7138.97,82953.86,0
1,14,94,0,2,2,1,10,2,49,54083.47,20871.27,0
1,32,45,0,0,2,0,2,1,25,39110.59,71577.86,0
1,29,67,0,0,1,2,3,3,20,28190.99,82590.08,0
1,6,74,0,2,0,3,2,2,37,41701.07,58053.76,0
0,32,115,0,0,0,2,17,1,25,66194.74,99601.29,0
0,24,110,0,2,2,0,7,0,29,90710.85,57401.35,0
1,20,132,0,0,2,4,9,2,23,5038.67,85590.76,0
1,25,57,0,2,3,2,11,3,47,85077.8,69341.78,1
1,10,135,0,0,1,2,5,1,41,31538.16,37596.29,0
1,2,53,0,1,4,1,1,2,44,19558.34,39196.21,1
1,16,68,0,2,0,3,5,0,53,90026.01,22010.56,0
1,12,78,0,2,4,3,0,1,63,53977.02,71275.9,0
0,11,21,0,2,2,5,17,2,23,17799.77,39950.15,0
