Gender,State,City,Bank,Account_Type,Transaction_Type,Merchant_Category,Transaction_Device,Device_Type,Age,Transaction_Amount,Account_Balance,Is_Fraud
1,15,127,3,2,3,5,17,3,60,32415.45,74557.27,0
0,18,100,3,0,0,5,9,1,51,43622.6,74622.66,0
1,4,13,3,2,0,3,0,1,20,63062.56,66817.99,0
0,28,22,3,0,2,2,8,2,57,14000.72,58177.08,0
0,25,7,3,2,3,2,16,2,43,18335.16,16108.56,0
1,10,2,3,1,3,2,7,3,54,9711.15,61258.85,0
0,8,102,3,0,3,4,11,1,61,94677.01,36313.61,0
1,0,109,3,0,2,0,5,0,32,67704.28,16948.73,0
1,17,15,3,0,4,0,0,2,52,72953.45,18138.71,0
0,6,55,3,0,1,2,2,1,32,5689.02,65801.35,0
1,10,135,3,2,1,0,6,3,18,45491.61,25427.07,0
1,25,21,3,0,1,5,2,2,59,34680.87,38070.74,0
1,21,20,3,2,0,5,6,1,66,46843.65,38362.08,0
0,6,74,3,2,3,5,13,3,47,39976.03,49403.41,0
1,33,73,3,2,3,3,11,0,37,10258.06,73121.31,0
0,4,39,3,0,4,4,1,2,53,92969.97,80388.02,0
0,27,60,3,1,4,0,0,2,38,47.39,52977.93,0
1,7,123,3,0,2,5,4,1,56,85269.3,74322.85,1
0,17,15,3,2,0,3,9,1,38,89594.61,61702.79,0
0,31,65,3,0,4,0,13,1,38,17728.9,6965.92,0
1,0,109,3,0,2,0,13,3,60,69766.33,56941.65,0
1,18,96,3,0,2,4,16,3,33,15972.95,43618.85,0
0,23,16,3,1,1,1,19,3,64,17878.33,27632.7,0
1,30,6,3,1,1,5,15,1,53,78453.41,81193.06,0
1,3,61,3,1,2,5,18,3,24,94163.77,41382.71,0
0,0,31,3,1,3,3,2,1,18,58699.47,90875.53,0
1,28,117,3,2,3,1,13,2,23,35929.73,83606.71,0
0,28,117,3,2,2,4,11,1,40,2848.31,46148.71,0
0,27,60,3,1,4,3,0,0,22,44470.52,68659.9,0
1,6,34,3,2,4,1,1,3,24,70219.41,60905.65,1
0,19,23,3,1,4,5,1,2,32,66414.37,64178.91,0
0,15,76,3,1,3,1,17,0,20,48335.94,58794.92,0
0,31,136,3,0,2,3,12,2,39,28020.64,88389.09,1
0,19,51,3,0,3,5,14,0,69,31937.54,95269.44,0
1,31,136,3,0,2,1,11,0,40,75542.4,77080.46,0
1,14,11,3,2,3,3,17,3,31,76722.12,95489.06,0
0,31,1,3,2,0,1,4,0,62,6552.8,36969.14,0
0,33,35,3,2,1,3,8,1,47,2436.88,80262.12,0
1,7,26,3,2,3,4,18,0,42,68140.83,47953.15,0
1,6,17,3,1,1,4,10,2,49,21983.84,30057.34,0
1,1,101,3,0,4,2,1,3,21,14451.24,28621.67,0
1,25,107,3,0,4,4,1,0,45,9512.32,7032.29,0
1,17,54,3,2,1,2,16,0,66,95750.51,24107.13,0
0,3,61,3,0,3,4,1,1,18,11645.01,86454.69,0
0,9,87,3,2,1,5,14,0,44,79558.16,14146.95,0
0,9,87,3,1,3,3,0,2,36,53938.61,73623.01,0
1,4,39,3,1,4,2,13,1,21,67136.84,20585.87,0
1,33,35,3,2,3,3,6,1,40,11598.89,97275.41,0
0,30,0,3,0,3,1,10,0,24,19794.67,66098.69,0
1,18,9,3,1,1,3,16,3,44,46261.04,25394.1,0
1,14,11,3,1,3,3,17,2,52,21304.56,51041.3,0
1,11,41,3,1,0,5,18,2,58,53480.81,99495.5,0
0,1,138,3,2,4,0,13,3,47,24104.53,99152.33,0
0,16,68,3,2,0,3,2,0,51,1919.61,96875.82,0
0,19,51,3,1,1,5,18,3,52,37118.69,56382.68,1
1,13,18,3,2,3,5,16,2,32,9341.1,12557.81,0
0,33,122,3,2,2,0,3,2,19,78858.34,85365.38,0
1,30,133,3,1,4,4,0,2,54,30049.72,27230.41,0
0,18,9,3,1,0,1,11,3,59,25071.33,9678.94,0
0,1,138,3,1,3,1,11,1,49,44098.79,92123.96,0
0,20,104,3,0,0,5,0,1,25,9561.0,56503.72,0
1,1,129,3,1,1,5,14,0,44,93611.71,64194.66,0
1,13,58,3,0,4,4,13,0,18,62184.19,34512.1,0
1,5,21,3,2,1,1,5,2,35,98260.84,83987.42,0
0,4,13,3,0,0,3,17,3,34,17994.03,26554.18,0
0,25,80,3,1,1,4,8,1,48,3338.76,10877.55,0
1,21,3,3,2,0,2,0,2,41,22180.04,62564.13,0
0,6,112,3,1,1,1,9,1,67,2287.71,85062.82,0
1,2,97,3,1,2,3,1,3,70,73629.79,46025.28,0
0,18,9,3,2,0,4,18,3,40,60540.22,11443.56,0
1,15,130,3,1,0,4,18,2,68,55065.06,86178.85,0
1,22,71,3,1,2,5,9,0,47,86384.2,7007.34,0
1,11,5,3,2,0,4,0,2,48,52065.26,6885.13,0
1,11,47,3,0,1,1,14,0,36,4465.46,93302.32,0
1,2,97,3,2,0,1,12,0,60,14422.08,13295.58,0
0,29,103,3,2,1,5,0,3,62,17191.85,29785.27,0
1,11,41,3,2,4,3,0,2,28,17317.33,75460.68,1
0,3,30,3,1,1,5,15,1,54,70678.75,6112.15,0
1,29,67,3,1,4,5,1,2,31,91551.86,18667.29,0
0,26,59,3,1,1,0,9,0,22,23195.39,60633.29,0
1,6,74,3,1,3,4,3,0,70,56977.17,72909.22,0
1,15,76,3,2,3,4,15,3,39,9941.11,41646.26,0
1,29,69,3,1,4,4,0,1,61,95168.83,42438.41,0
1,26,56,3,2,1,0,15,2,43,1517.59,32999.19,1
0,22,142,3,0,1,2,7,0,50,38048.79,22384.52,0
0,14,94,3,0,4,1,1,3,55,65138.78,13913.52,0
1,29,50,3,2,4,5,1,0,32,48775.26,71793.02,0
0,28,117,3,2,3,1,6,0,33,87338.15,92083.1,0
0,13,18,3,0,0,4,11,2,62,46067.35,70000.09,0
1,1,101,3,2,3,1,18,3,22,98375.96,53690.14,0
0,26,75,3,0,1,4,0,1,49,33285.62,92274.67,0
0,3,61,3,1,3,5,18,1,54,57819.35,58749.01,0
0,28,117,3,0,2,0,15,0,60,2064.89,44275.63,0
0,2,126,3,1,1,5,8,2,21,82488.69,81233.02,1
0,2,144,3,2,2,5,13,1,37,31606.36,62289.55,0
0,12,120,3,1,1,0,14,1,22,50812.5,34503.12,0
0,21,72,3,1,4,4,13,3,66,52216.68,59947.7,0
0,16,68,3,1,4,0,0,0,45,19758.72,14260.7,0
0,25,7,3,2,2,0,12,1,45,45939.43,43890.97,0
0,8,141,3,1,3,1,12,2,31,31378.31,12310.81,0
0,20,104,3,0,2,1,12,0,21,26767.52,51047.76,0
1,10,2,3,0,0,2,8,2,22,64457.54,55534.05,0
0,18,96,3,0,0,5,14,3,59,87181.28,63117.3,0
1,26,75,3,2,4,3,13,3,29,70716.71,35780.01,1
0,9,137,3,1,4,5,1,0,42,40350.68,34186.94,0
0,27,99,3,2,4,1,0,0,32,78567.71,95365.9,0
1,19,128,3,2,1,2,8,0,36,68969.8,28716.88,0
0,20,132,3,2,0,0,9,1,48,83086.17,24379.92,0
1,1,129,3,2,1,1,10,1,55,66099.69,17812.59,0
0,18,111,3,2,3,5,3,1,51,58680.81,71611.19,0
0,31,136,3,1,0,5,16,0,22,41689.43,58146.76,0
0,7,33,3,0,2,1,7,2,69,10143.05,80922.36,0
0,14,49,3,0,2,2,6,1,25,44868.34,44963.41,0
1,20,132,3,2,1,1,5,3,56,7671.3,82590.78,0
0,13,114,3,0,0,4,1,2,61,64991.07,73165.47,0
0,24,143,3,0,4,0,0,0,23,25450.34,93850.23,0
1,8,124,3,2,0,3,6,2,33,32001.45,82154.78,1
0,14,49,3,1,4,3,0,1,20,48947.85,86530.24,0
1,22,90,3,2,3,5,14,3,67,13757.97,66020.46,0
0,5,21,3,2,3,4,6,0,46,8410.71,94655.17,0
1,8,105,3,2,0,1,3,2,34,48115.72,82394.24,0
1,10,125,3,0,2,4,5,1,41,39955.85,62238.26,1
0,32,27,3,1,0,3,3,3,38,68729.88,26524.09,0
1,22,142,3,2,0,2,4,3,19,62013.56,84868.29,0
1,27,60,3,0,1,1,4,0,24,75354.86,80041.87,0
0,13,46,3,2,4,4,13,0,34,49946.04,55041.32,0
1,18,91,3,2,1,2,14,0,44,24420.73,49315.98,0
1,0,109,3,0,4,0,13,1,64,40631.95,20221.48,0
1,20,132,3,1,2,4,4,2,30,95667.96,7288.63,1
0,1,139,3,2,4,3,13,3,46,51755.3,81229.05,0
1,12,84,3,2,1,0,2,2,50,67780.13,42006.73,0
1,21,72,3,2,1,5,16,2,44,19458.06,93270.65,0
0,3,61,3,1,4,4,13,0,60,75548.0,25868.42,0
0,23,116,3,2,3,0,8,1,21,17566.44,84449.73,0
1,2,97,3,1,1,1,12,0,66,21476.82,31721.78,0
0,0,19,3,2,4,2,13,0,27,89857.1,32630.04,0
0,23,12,3,2,3,4,16,3,32,58853.0,71079.78,0
1,23,118,3,2,3,0,0,3,57,39989.89,46364.34,0
0,26,133,3,2,1,5,11,1,51,1563.23,30796.56,0
1,18,96,3,1,4,1,1,1,65,51987.16,99416.32,0
1,17,134,3,2,2,4,17,2,66,95806.93,89979.94,0
0,18,111,3,1,4,0,13,1,26,72149.81,71916.7,0
0,7,33,3,1,3,4,7,1,51,33201.23,43616.18,0
0,12,120,3,0,4,4,1,3,35,22374.59,94992.26,0
0,30,133,3,0,2,5,14,1,66,26882.08,60380.08,0
1,26,75,3,0,1,1,6,1,63,50829.27,37635.67,0
1,31,65,3,2,0,0,9,2,57,71437.29,26495.29,0
1,5,21,3,2,4,4,0,0,66,53579.83,27715.9,0
0,18,100,3,1,2,2,0,3,66,45932.27,29573.25,0
1,20,132,3,0,2,3,10,2,61,41971.12,56243.48,0
0,31,89,3,2,4,0,0,1,61,80904.44,56291.67,0
0,28,131,3,1,2,0,0,3,67,60502.58,85120.05,1
1,27,38,3,1,0,1,13,2,34,8579.62,62012.75,0
0,4,92,3,2,2,4,7,1,35,60574.48,87594.56,0
1,6,112,3,2,2,0,5,3,53,22985.6,70659.37,0
1,1,139,3,1,0,0,0,0,61,54697.02,7585.11,0
1,12,64,3,1,0,4,11,1,24,76437.89,83754.59,1
1,6,34,3,0,0,3,14,2,65,88925.37,17672.36,0
1,30,0,3,0,1,2,4,2,39,25151.04,94464.62,0
0,25,80,3,0,4,4,13,2,43,39677.18,97954.3,0
0,30,133,3,2,2,4,12,0,29,51401.28,51903.51,0
1,29,69,3,0,2,3,15,2,21,25651.2,75832.35,0
1,3,61,3,0,0,5,5,3,60,74849.04,70322.71,0
1,22,90,3,1,2,0,3,1,33,66725.1,98629.58,0
1,29,103,3,1,3,2,19,1,27,11757.36,72940.83,0
1,4,108,3,2,2,3,0,0,63,53175.97,44100.77,0
0,23,118,3,0,3,0,17,1,38,54115.47,91311.49,0
1,6,55,3,0,2,5,19,0,30,20481.27,17751.94,0
0,9,88,3,2,1,2,2,1,33,50499.73,38251.92,1
1,22,90,3,2,0,3,4,0,24,80922.3,50856.19,0
1,14,94,3,0,2,4,3,1,55,89284.78,12608.74,0
1,4,93,3,1,4,2,0,3,36,44227.3,59229.9,0
1,0,19,3,0,2,2,16,2,68,16099.56,28217.23,0
1,24,66,3,0,3,4,17,3,63,76532.21,25989.35,0
1,8,36,3,1,1,4,5,3,62,89414.46,55757.38,0
0,1,40,3,0,0,5,2,2,62,39760.85,26522.3,0
1,6,74,3,2,1,3,12,0,69,96420.64,64609.07,0
1,29,103,3,1,1,4,17,3,39,78739.28,98116.91,0
0,26,56,3,1,0,5,1,3,26,2002.39,32018.97,0
1,22,90,3,1,3,3,19,2,68,96461.31,57315.0,0
1,3,42,3,0,1,1,9,3,34,59946.27,84452.81,0
1,11,5,3,2,1,5,7,3,63,48669.83,64557.26,0
1,21,81,3,1,4,3,13,2,42,38330.13,31419.35,0
0,24,66,3,1,3,5,16,2,46,46737.02,55576.31,0
0,31,79,3,0,2,0,4,2,56,45420.24,12941.77,0
1,4,108,3,2,0,4,18,3,26,17106.25,84094.44,0
0,28,22,3,1,4,3,13,2,64,93302.27,67596.73,0
1,0,109,3,1,0,3,14,0,29,63840.09,72135.65,1
0,26,133,3,1,1,5,18,1,41,71385.0,5212.72,0
1,26,56,3,0,0,5,8,0,29,35223.52,24983.88,0
0,16,68,3,0,3,0,15,2,51,71107.71,29169.66,0
0,25,7,3,2,4,0,1,3,18,46115.44,83310.76,0
1,26,75,3,1,1,4,3,1,49,79318.09,93478.82,0
0,12,84,3,1,0,4,8,1,39,93418.37,82315.61,0
1,30,133,3,0,1,3,11,3,65,86805.27,22131.17,0
0,14,11,3,2,1,0,17,2,33,26259.88,21968.1,0
1,18,100,3,1,2,2,10,2,60,56204.06,47201.23,0
0,14,49,3,2,2,2,11,2,43,14327.35,26211.52,0
0,20,119,3,2,3,5,5,3,67,44418.37,42850.28,0
0,24,143,3,0,4,5,13,3,42,94070.1,20557.59,0
0,7,26,3,2,4,2,13,3,30,37286.03,19958.22,0
0,5,21,3,1,2,1,18,3,49,9375.88,5739.6,0
0,0,109,3,1,3,4,1,0,25,52412.07,34385.71,0
1,17,52,3,1,2,3,16,0,54,72929.18,21323.22,0
0,0,31,3,0,2,2,12,3,27,68813.55,54580.44,0
0,9,106,3,1,4,3,0,2,32,61189.42,46947.24,0
0,23,25,3,2,4,1,0,2,69,74456.59,23404.95,0
0,31,65,3,0,3,2,17,2,58,15767.94,61494.11,0
0,19,23,3,1,3,1,3,0,53,18073.59,42486.33,0
0,11,37,3,0,1,0,17,2,37,39552.16,65515.67,0
0,5,21,3,1,1,2,1,2,20,77813.49,23371.66,0
0,17,54,3,0,1,3,4,3,21,24491.78,78291.59,0
0,4,92,3,0,1,1,2,2,26,42671.22,25780.01,0
0,1,129,3,0,3,1,15,3,45,61095.03,72050.6,0
0,17,134,3,2,2,1,1,1,59,19576.61,10848.26,0
1,32,44,3,2,3,1,8,3,39,76326.25,21819.83,0
0,10,2,3,0,3,3,1,1,33,47779.89,77247.65,0
1,19,23,3,0,0,4,3,2,29,24659.59,89624.88,0
0,28,82,3,2,1,2,15,0,45,55307.35,82275.44,0
1,6,55,3,0,4,1,1,2,65,9046.06,61934.16,0
0,0,31,3,2,2,5,17,0,57,9546.57,39321.78,0
1,33,122,3,0,3,4,9,1,66,9462.23,28805.18,0
1,0,31,3,0,4,3,1,3,20,25671.93,83380.47,0
1,16,68,3,2,2,5,11,3,37,53605.41,59011.65,0
0,28,82,3,0,2,2,4,2,28,74182.66,71875.47,0
1,2,97,3,2,1,3,6,1,68,2569.2,56080.72,0
1,25,57,3,1,0,2,7,1,38,29722.53,14873.22,1
0,21,81,3,2,2,1,0,0,27,27311.56,17672.4,0
